iter	Passed	Remaining
0	7	3687
1	14	3548
2	20	3457
3	26	3347
4	33	3306
5	39	3240
6	45	3194
7	51	3152
8	57	3145
9	64	3146
10	70	3138
11	76	3128
12	82	3108
13	89	3100
14	95	3098
15	101	3085
16	108	3082
17	114	3078
18	121	3071
19	128	3074
20	134	3073
21	141	3067
22	147	3056
23	153	3052
24	160	3044
25	166	3043
26	173	3032
27	179	3025
28	186	3035
29	193	3028
30	199	3016
31	205	3010
32	212	3001
33	219	3002
34	225	2995
35	231	2985
36	237	2975
37	244	2968
38	250	2958
39	256	2947
40	262	2937
41	268	2927
42	274	2921
43	280	2911
44	287	2902
45	293	2895
46	298	2881
47	304	2869
48	310	2858
49	316	2847
50	323	2845
51	328	2834
52	335	2827
53	341	2819
54	347	2810
55	353	2804
56	359	2794
57	365	2784
58	371	2776
59	377	2767
60	383	2757
61	388	2747
62	394	2737
63	400	2728
64	406	2719
65	412	2710
66	418	2702
67	423	2690
68	429	2682
69	435	2673
70	441	2665
71	447	2658
72	452	2648
73	458	2641
74	464	2632
75	470	2624
76	476	2615
77	481	2606
78	487	2600
79	493	2591
80	499	2583
81	505	2576
82	511	2568
83	517	2562
84	523	2555
85	529	2547
86	535	2543
87	541	2535
88	548	2530
89	553	2522
90	559	2515
91	565	2508
92	571	2502
93	577	2495
94	583	2487
95	589	2480
96	595	2472
97	600	2464
98	606	2457
99	612	2448
100	617	2440
101	623	2433
102	629	2426
103	635	2419
104	641	2412
105	646	2404
106	652	2396
107	658	2390
108	664	2383
109	670	2376
110	676	2370
111	682	2362
112	687	2355
113	693	2348
114	699	2342
115	705	2334
116	711	2328
117	717	2323
118	723	2316
119	729	2310
120	735	2303
121	740	2295
122	747	2290
123	753	2283
124	758	2276
125	765	2270
126	770	2264
127	776	2257
128	782	2250
129	788	2243
130	794	2236
131	799	2230
132	805	2223
133	811	2216
134	817	2209
135	823	2203
136	829	2196
137	835	2190
138	840	2183
139	846	2177
140	852	2171
141	858	2164
142	864	2157
143	870	2151
144	876	2144
145	882	2138
146	887	2131
147	893	2125
148	899	2118
149	905	2112
150	911	2106
151	920	2106
152	928	2106
153	937	2106
154	946	2106
155	955	2106
156	963	2105
157	972	2105
158	981	2105
159	990	2105
160	997	2099
161	1006	2099
162	1015	2098
163	1024	2099
164	1034	2099
165	1043	2100
166	1053	2099
167	1061	2098
168	1070	2097
169	1079	2095
170	1086	2089
171	1092	2083
172	1098	2076
173	1104	2069
174	1110	2063
175	1117	2057
176	1123	2050
177	1129	2043
178	1136	2037
179	1142	2031
180	1148	2024
181	1154	2017
182	1160	2010
183	1166	2003
184	1173	1997
185	1179	1991
186	1185	1984
187	1192	1978
188	1198	1971
189	1204	1965
190	1210	1958
191	1217	1952
192	1223	1946
193	1229	1939
194	1236	1933
195	1242	1927
196	1248	1920
197	1255	1914
198	1261	1908
199	1267	1901
200	1274	1895
201	1280	1888
202	1286	1882
203	1292	1875
204	1299	1869
205	1305	1862
206	1311	1856
207	1317	1849
208	1324	1843
209	1332	1840
210	1340	1836
211	1347	1830
212	1353	1824
213	1361	1819
214	1367	1813
215	1374	1806
216	1380	1799
217	1386	1793
218	1392	1786
219	1398	1780
220	1405	1773
221	1411	1767
222	1417	1760
223	1423	1754
224	1430	1748
225	1437	1742
226	1443	1735
227	1449	1729
228	1455	1722
229	1462	1717
230	1469	1711
231	1477	1706
232	1484	1700
233	1490	1694
234	1496	1687
235	1503	1681
236	1509	1674
237	1515	1668
238	1522	1662
239	1530	1657
240	1537	1652
241	1546	1648
242	1553	1642
243	1560	1636
244	1566	1630
245	1573	1624
246	1579	1617
247	1585	1611
248	1591	1604
249	1598	1598
250	1605	1592
251	1612	1586
252	1619	1580
253	1625	1574
254	1634	1570
255	1640	1563
256	1649	1559
257	1655	1552
258	1663	1548
259	1670	1542
260	1679	1537
261	1687	1532
262	1696	1528
263	1704	1523
264	1711	1517
265	1721	1513
266	1729	1508
267	1736	1502
268	1743	1496
269	1750	1491
270	1758	1486
271	1766	1480
272	1773	1474
273	1781	1469
274	1788	1463
275	1795	1457
276	1803	1452
277	1811	1446
278	1818	1440
279	1827	1435
280	1835	1430
281	1844	1426
282	1853	1421
283	1860	1415
284	1867	1408
285	1874	1402
286	1880	1395
287	1887	1389
288	1893	1382
289	1900	1376
290	1907	1370
